"","LID","License Number","License Type","Status","Licensee","Premises","Premises Address","Premises Mailing Address","Premises Owner","Premises Manager","County","Municipality","Last Issue Date","Expiration Date","lon","lat"
"258","88903","R8657","Restaurant (Liquor)","Active","CINEMARK USA INC","CINEMARK ROBINSON TOWNSHIP AND XD","2100 SETTLERS RIDGE CENTER  DR, PITTSBURGH PA 15205","3900 DALLAS  PKY STE 500, PITTSBURGH PA 15205",NA,"SHAWN M WILSON","Allegheny County","Robinson Twp","Mar 11,2025","May 31,2026",-80.1465813,40.4389793
"259","63769","R7525","Restaurant (Liquor)","Active","SSLBK, LLC","LOCAL BAR & KITCHEN","1513-1515 E CARSON ST, PITTSBURGH PA 15203-1701","1513-1515 E CARSON ST, PITTSBURGH PA 15203-1701",NA,"CASSI MILLER","Allegheny County","Pittsburgh","Apr 22,2025","May 31,2026",-79.9828754,40.4289996
"260","96125","R7260","Restaurant (Liquor)","Active","BOTTLENECK PPG LLC","BOTTLENECK PPG LLC","1 PPG PL, PITTSBURGH PA 15222","1 PPG PL, PITTSBURGH PA 15222","HRLP FOURTH AVENUE LLC","MICHAEL P REALE","Allegheny County","Pittsburgh","Mar 20,2025","May 31,2026",-80.0034788,40.4398819
"261","33158","R1855","Restaurant (Liquor)","Active","CANDLELIGHT LOUNGE, INC.","CANDLELIGHT LOUNGE","146 44TH ST, PITTSBURGH PA 15201-3041","146 44TH ST, PITTSBURGH PA 15201-3041",NA,"WILLIAM M TAYLOR","Allegheny County","Pittsburgh","Mar 20,2025","May 31,2026",-79.9616957,40.472511
"262","108724","R10456","Restaurant (Liquor)","Active","CONDADO TACOS 37 LLC","CONDADO TACOS","6210 PENN AVE, PITTSBURGH PA 15206","6210 PENN AVE, PITTSBURGH PA 15206","EASTSIDE LIMITED PARTNERSHIP, III","ASHLEY N COLETTA","Allegheny County","Pittsburgh","Mar 31,2025","May 31,2026",-79.922386,40.4603668
"263","71434","R7386","Restaurant (Liquor)","Active","TEPPY LLC","TEPPY LLC","5430 PENN AVE, PITTSBURGH PA 15206-3424","5430 PENN AVE, PITTSBURGH PA 15206-3424",NA,"SARAH D HOFFMAN","Allegheny County","Pittsburgh","May 14,2025","May 31,2026",-79.9353168,40.4646185
"264","26983","R6724","Restaurant (Liquor)","Active","BOOMERANG BAR, INC.","BOOMERANG BAR, INC.","1928 MONONGAHELA AVE SWISSVALE, PITTSBURGH PA 15218-2460","1928 MONONGAHELA AVE SWISSVALE, PITTSBURGH PA 15218-2460",NA,"KENNETH R STRETAVSKI","Allegheny County","Swissvale","Apr 8,2025","May 31,2026",-79.8901362,40.4210662
"265","105603","R16603","Restaurant (Liquor)","Active","TAJ MAHAL RESTAURANT OF PA INC","TAJ MAHAL RESTAURANT OF PA INC","7795 MCKNIGHT RD, PITTSBURGH PA 15237-3519","7795 MCKNIGHT RD, PITTSBURGH PA 15237-3519","TAJ PROPERTIES ENTERPRISE LLC","USHA K SETHI","Allegheny County","Ross Twp","Mar 25,2025","May 31,2026",-80.0185038,40.547458
"266","71680","R12871","Restaurant (Liquor)","Safekeeping","LULU KITCHEN LLC","POULET BLEU","3519 BUTLER ST, PITTSBURGH PA 15201-1368","3519 BUTLER ST, PITTSBURGH PA 15201-1368",NA,"WILLIAM KOHL","Allegheny County","Pittsburgh","Jun 2,2025","May 31,2026",-79.9661953,40.4645609
"267","84177","R13100","Restaurant (Liquor)","Safekeeping","EL PASO MEXICAN GRILL BETHEL PARK LLC","EL PASO MEXICAN GRILL BETHEL PARK LLC","564 FORBES AVE MANOR COMPLEX, PITTSBURGH PA 15219-2903","564 FORBES AVE MANOR COMPLEX, PITTSBURGH PA 15219-2903",NA,"JOSE A GARCIA","Allegheny County","Pittsburgh","Mar 10,2025","May 31,2026",-79.9950979,40.4376668
"268","127104","R15758","Restaurant (Liquor)","Safekeeping","THE FRESH MARKET INC","THE FRESH MARKET","5880 CENTRE AVE, PITTSBURGH PA 15206-3710","5880 CENTRE AVE, PITTSBURGH PA 15206-3710","EASTSIDE LIMITED LIABILITY COMPANY",NA,"Allegheny County","Pittsburgh","Mar 24,2025","May 31,2026",-79.9289879,40.4584575
"269","82396","R16540","Restaurant (Liquor)","Safekeeping","CANDYGIRL ENT. LLC","HOP'S PLACE","3037 SHADELAND AVE, PITTSBURGH PA 15212-2572","3037 SHADELAND AVE, PITTSBURGH PA 15212-2572","LOREEN GUBISH","JUSTIN R GUBISH","Allegheny County","Pittsburgh","Apr 29,2025","May 31,2026",-80.0314788,40.4726696
"270","131246",NA,"Special Occasion Permit","Pending","PROUD HAVEN INC","PROUD HAVEN INC","525 E OHIO ST, PITTSBURGH PA 15212-5516","525 E OHIO ST, PITTSBURGH PA 15212-5516",NA,NA,"Allegheny County","Pittsburgh",NA,"Dec 31,2025",-79.9997213,40.4534445
"271","130507","R7664","Restaurant (Liquor)","Pending","TACO MEXICAN PITTSBURGH LLC","TACO MEXICAN PITTSBURGH","1014 5TH AVE, PITTSBURGH PA 15219-6202","200 GRAFFIUS AVE, PUNXSUTAWNEY PA 15767",NA,NA,"Allegheny County","Pittsburgh",NA,"May 31,2025",-79.9904704,40.4385621
"272","32","AE46","Alcohol Tax-Exempt","Active","ATTN  PHARMACY DEPT UPMC PRESBYTERIAN SHADYSIDE SHADYSIDE CAMPUS","ATTN  PHARMACY DEPT UPMC PRESBYTERIAN SHADYSIDE SHADYSIDE CAMPUS","5230 CENTRE AVE, PITTSBURGH PA 15232-1304","5230 CENTRE AVE, PITTSBURGH PA 15232-1304",NA,NA,"Allegheny County","Pittsburgh","Mar 13,2025","Dec 31,2028",-79.9417282,40.4544065
"273","104343","AN46049","Alcohol Non-Beverage","Active","INTERPACE DIAGNOSTIC CORPORATION","INTERPACE DIAGNOSTIC CORPORATION","2515 LIBERTY AVE, PITTSBURGH PA 15222","2515 LIBERTY AVE, PITTSBURGH PA 15222",NA,NA,"Allegheny County","Pittsburgh","Sep 12,2024","Dec 31,2028",-79.9789383,40.4538174
"274","72240","AN3186","Alcohol Non-Beverage","Active","COVESTRO LLC","COVESTRO LLC","1 COVESTRO CIR, PITTSBURGH PA 15205","1 COVESTRO CIR, PITTSBURGH PA 15205",NA,NA,"Allegheny County","Robinson Twp","Sep 5,2024","Dec 31,2028",-80.0870155,40.4417703
"275","112883","AN51258","Alcohol Non-Beverage","Active","CASTLE BIOSCIENCES, INC","UPARC","100 S COMMONS SUITE 245, PITTSBURGH PA 15212","100 S COMMONS SUITE 245, PITTSBURGH PA 15212",NA,NA,"Allegheny County","Harmar Twp","Sep 12,2024","Dec 31,2028",-80.0056056,40.4513062
"276","127232","AR60337","Airport Restaurant (Liquor)","Safekeeping","SSP AMERICA PIT LLC","BAD EGG BREAKFAST BAR","PITTSBURGH INTERNATIONAL AIRPORT  1000 AIRPORT BLVD  UNIT AC - 30AB, PITTSBURGH PA 15231","20408 BASHAN DR STE 300, ASHBURN VA 20147-5553",NA,NA,"Allegheny County","Findlay Twp","Mar 17,2025","May 31,2026",-80.256853,40.4955466
"277","92870","AR36254","Airport Restaurant (Liquor)","Active","SODEXO OPERATIONS LLC","SODEXO OPERATIONS LLC","PITTSBURGH INTERNATIONAL AIRPORT  1000 AIRPORT BLVD  CONCOURSE C  UNIT SW-5  , PITTSBURGH PA 15231","PITTSBURGH INTERNATIONAL AIRPORT  1000 AIRPORT BLVD  CONCOURSE C  UNIT SW-5  , PITTSBURGH PA 15231",NA,"SCOTT A CHILDS","Allegheny County","Findlay Twp","Feb 7,2025","May 31,2026",-80.256853,40.4955466
"278","127855","B59920","Bonded Warehouse (Liquor)","Safekeeping","QUICK COURIER SERVICE INC","QUICK COURIER SERVICE","504-505 PARKWAY VIEW DR, PITTSBURGH PA 15205-1410","PO BOX 8640, PHILADELPHIA PA 19101","SAMDOZ INC","JOSEPH P CASE","Allegheny County","Robinson Twp","Mar 28,2025","Dec 31,2025",-80.1319546,40.4342819
"279","708","C777","Club (Liquor)","Active","SOUTH HILLS REPUBLICAN CLUB","SOUTH HILLS REPUBLICAN CLUB","221 SWEETBRIAR ST, PITTSBURGH PA 15211-1117","221 SWEETBRIAR ST, PITTSBURGH PA 15211-1117","SOUTH HILLS REPUBLICAN CLUB","JOSEPH R MARTINELLI   SR.","Allegheny County","Pittsburgh","Apr 9,2025","May 31,2026",-80.021429,40.4376133
"280","1222","C2282","Club (Liquor)","Active","POLISH EAGLE SOCIETY GROUP NO. 506 P. N. A.","POLISH EAGLE SOCIETY GROUP NO. 506 P. N. A.","208 FISK ST, PITTSBURGH PA 15201-2806","208 FISK ST, PITTSBURGH PA 15201-2806","POLISH EAGLE SOCIETY GROUP NO. 506 P. N. A.","DENNIS R YESCHKE","Allegheny County","Pittsburgh","May 7,2025","May 31,2026",-79.961357,40.4689861
"281","58382","C1220","Club (Liquor)","Active","BARTENDERS OWNERS & WAITRESSES SOCIAL CLUB","GOTHAM ATHLETIC ASSOCIATION","2001 PENN AVE SUITE 200, PITTSBURGH PA 15222","2001 PENN AVE SUITE 200, PITTSBURGH PA 15222","TWENTY PENN LLC","JULIUS B TROIANI JR","Allegheny County","Pittsburgh","Feb 10,2025","May 31,2026",-79.9840112,40.4513275
"282","2025","C4408","Club (Liquor)","Active","EAST END NEGRO VETERANS ASSN.","EAST END NEGRO VETERANS ASSN.","2132 FORBES AVE FIRST FLOOR & BSMT, PITTSBURGH PA 15219-5807","2132 FORBES AVE FIRST FLOOR & BSMT, PITTSBURGH PA 15219-5807","EAST END NEGRO VETERANS ASSN.","DYMOND R WILLIAMS","Allegheny County","Pittsburgh","May 1,2025","May 31,2026",-79.9746536,40.4370033
"283","2990","CC592","Catering Club (Liquor)","Active","SOUTH HILLS COUNTRY CLUB","SOUTH HILLS COUNTRY CLUB","4305 BROWNSVILLE RD WHITEHALL, PITTSBURGH PA 15236-1899","4305 BROWNSVILLE RD WHITEHALL, PITTSBURGH PA 15236-1899","SOUTH HILLS COUNTRY CLUB","FRANK S HAMSCHIN","Allegheny County","Whitehall","Apr 1,2025","May 31,2026",-79.9878053,40.3587127
"284","2868","CC198","Catering Club (Liquor)","Active","SHANNOPIN COUNTRY CLUB","SHANNOPIN COUNTRY CLUB","WINDMERE RD BEN AVON HEIGHTS, PITTSBURGH PA 15202","WINDMERE RD BEN AVON HEIGHTS, PITTSBURGH PA 15202","SHANNOPIN COUNTRY CLUB","MICHAEL MEISSNER","Allegheny County","Ben Avon Heights","Mar 11,2025","May 31,2026",-80.0697543,40.5139893
"285","60626","D3780","Distributor (Malt)","Active","ADITYA1 INC","MCINTYRE BEER","3320 MCINTYRE SQ DR, PITTSBURGH PA 15237-4051","PO Box 101604, PITTSBURGH PA 15237-1604",NA,"MAULIK D PATEL","Allegheny County","Pittsburgh","Mar 28,2025","May 31,2026",-80.0158725,40.5538235
"286","111520","D42759","Distributor (Malt)","Active","BEER LIME AND SUNSHINE ON LIBERTY INC","BEER LIME AND SUNSHINE","909 LIBERTY AVE, PITTSBURGH PA 15222-3701","909 LIBERTY AVE, PITTSBURGH PA 15222-3701","BEER LIME AND SUNSHINE DOWNTOWN LLC","JENNA M SHARMA","Allegheny County","Pittsburgh","May 29,2025","May 31,2026",-79.997722,40.4432483
"287","72659","D2061","Distributor (Malt)","Active","A & P SHAH INC","A & P SHAH INC","3400 WILLIAM PENN HWY, PITTSBURGH PA 15235","3400 WILLIAM PENN HWY, PITTSBURGH PA 15235","S & D SHAH CORPORATION","DEVENDRA A SHAH","Allegheny County","Wilkins Twp","Apr 21,2025","May 31,2026",-79.8154674,40.4305526
"288","96113","D1705","Distributor (Malt)","Active","DCVD ENTERPRISES LLC","MCBROOM DISTRIBUTOR","1200-04 S BRADDOCK AVE SWISSVALE, PITTSBURGH PA 15218-1240","1200-04 S BRADDOCK AVE SWISSVALE, PITTSBURGH PA 15218-1240",NA,"JUSTIN D WHATLEY","Allegheny County","Swissvale","Jun 5,2025","May 31,2026",-79.8933785,40.4315738
"289","47310","D3316","Distributor (Malt)","Active","NORTHERN BEER TRADERS INC","NORTHERN BEER TRADERS INC","190 ROCHESTER RD, PITTSBURGH PA 15229-1334","190 ROCHESTER RD, PITTSBURGH PA 15229-1334","LISA VECENIE","LISA VECENIE","Allegheny County","Ross Twp","Mar 11,2025","May 31,2026",-80.0166276,40.5197016
"290","97044","D2277","Distributor (Malt)","Active","GLACIER BEER DISTRIBUTOR LLC","GLACIER BEER DISTRIBUTOR LLC","10733 FRANKSTOWN RD, PITTSBURGH PA 15235-3040","10733 FRANKSTOWN RD, PITTSBURGH PA 15235-3040","SHREE DEVELOPMENT, LLC","SATISHKUMAR T LATHIYA","Allegheny County","Penn Hills Twp","Apr 1,2025","May 31,2026",-79.8413481,40.4616371
"291","115361","DWS52645","Direct Wine Shipper","Active","PITTSBURGH SPIRITS LLC","PITTSBURGH SPIRITS LLC","1274 VOSKAMP ST, PITTSBURGH PA 15212-4262","1274 VOSKAMP ST, PITTSBURGH PA 15212-4262",NA,NA,"Allegheny County","Pittsburgh","Sep 30,2024","Dec 31,2025",-79.9890584,40.4600866
"292","120232","G56178","Brewery","Active","NEBO HOSPITALITY LLC","NEBO HOSPITALITY LLC","138 GREEN VALLEY RD, PITTSBURGH PA 15237-1285","138 GREEN VALLEY RD, PITTSBURGH PA 15237-1285","NEBO RESTAURANT HOLDINGS, LLC","CAIO   PAES ALBUQUERQUE","Allegheny County","Ohio Twp","Oct 4,2024","Dec 31,2025",-80.0694025,40.5320682
"293","81189","GA32241","Grain Alcohol","Active","JOSEPH LIPINSKI","JOSEPH LIPINSKI","1105 FAIRDALE ST, PITTSBURGH PA 15204","1105 FAIRDALE ST, PITTSBURGH PA 15204",NA,NA,"Allegheny County","Pittsburgh","Oct 26,2016",NA,-80.062092,40.454675
"294","94320","GA43949","Grain Alcohol","Active","PASQUALINO PIZZONIA","PASQUALINO PIZZONIA","2519 COLLINS RD, PITTSBURGH PA 15235","2519 COLLINS RD, PITTSBURGH PA 15235",NA,NA,"Allegheny County","Churchill","Oct 29,2019",NA,-79.8496837,40.449934
"295","105142","GA46431","Grain Alcohol","Active","DYLAN MICHAEL BURKE","DYLAN MICHAEL BURKE","1457 GREENMOUNT AVE, PITTSBURGH PA 15216","1457 GREENMOUNT AVE, PITTSBURGH PA 15216",NA,NA,"Allegheny County","Dormont","Feb 11,2021","Dec 31,2026",-80.0413834,40.3921614
"296","110711","GS50287","Brewery Storage","Active","EAST END BREWING COMPANY INC","MT. LEBANON TAPROOM","651 WASHINGTON RD, PITTSBURGH PA 15228-","6580 FRANKSTOWN AVE, PITTSBURGH PA 15206","MUNICIPALITY OF MT LEBANON","TRAVIS A FLOYD","Allegheny County","Mt Lebanon Twp","Sep 19,2024","Dec 31,2025",-80.0438716,40.3818261
"297","94933","H40866","Hotel (Liquor)","Active","CENTURY HOSPITALITY LAWRENCEVILLE LLC","TRYP BY WYNDHAM PITTSBURGH/LAWRENCEVILLE","177 40TH ST, PITTSBURGH PA 15201-3249","177 40TH ST, PITTSBURGH PA 15201-3249","Century Lawrenceville Qalicb LLC","DANIEL K ZWIRN","Allegheny County","Pittsburgh","May 30,2025","May 31,2026",-79.9627705,40.4695144
"298","103524","IA45484","Transporter for Hire Class A","Active","MISSION LOGISTICS LLC","MISSION LOGISTICS LLC","118 52ND ST, PITTSBURGH PA 15201","118 52ND ST, PITTSBURGH PA 15201",NA,NA,"Allegheny County","Pittsburgh","Nov 13,2024","Dec 31,2025",-79.9561247,40.4806609
"299","126053","IZ58122","Importer's Warehouse","Active","KENDEALL CONSULTING LLC","KENDEALL CONSULTING LLC","25 S EMILY ST Basement, PITTSBURGH PA 15205-4503","25 S EMILY ST Basement, PITTSBURGH PA 15205-4503","AARON J KENDEALL",NA,"Allegheny County","Crafton","Jun 27,2024","Jun 30,2025",-80.0716223,40.4312716
"300","70841","J183","Bailee For Hire","Active","SOIREE PARTNERS LLC","SOIREE PARTNERS LLC","3401 LIBERTY AVE RM 300, PITTSBURGH PA 15201-1322","3401 LIBERTY AVE RM 300, PITTSBURGH PA 15201-1322",NA,NA,"Allegheny County","Pittsburgh","Nov 20,2024","Dec 31,2025",-79.9654103,40.461966
"301","82813","LK32796","Limited Winery","Active","NICOLA WINERY LLC","2519 PENN AVE","2519 PENN AVE, PITTSBURGH PA 15222","2519 PENN AVE, PITTSBURGH PA 15222","NICOLA DICIO","ASHLEY WEBER","Allegheny County","Pittsburgh","Sep 11,2024","Dec 31,2025",-79.9794507,40.4544281
"302","9057","P27","Public Service (Liquor)","Active","GATEWAY CLIPPER INC","MOTOR VESSEL DUCHESS","350 W STATION SQ DR, PITTSBURGH PA 15219-1120","350 W STATION SQ DR, PITTSBURGH PA 15219-1120",NA,"HANNAH M ROTH","Allegheny County","Pittsburgh","Dec 6,2024","Dec 31,2025",-80.0077044,40.4354713
"303","64938","R9816","Restaurant (Liquor)","Active","CHATHAM UNIVERSITY","CHATHAM UNIVERSITY","WOODLAND RD, PITTSBURGH PA 15232","WOODLAND RD, PITTSBURGH PA 15232","CHATHAM UNIVERSITY","HANNAH E DILLON","Allegheny County","Pittsburgh","May 29,2025","May 31,2026",-79.9234671,40.4476161
"304","68641","R14203","Restaurant (Liquor)","Active","EAT'N PARK HOSPITALITY GROUP INC","RED RING RESTAURANT","1015 FORBES AVE, PITTSBURGH PA 15219","1015 FORBES AVE, PITTSBURGH PA 15219",NA,"TARA A JACOBSON","Allegheny County","Pittsburgh","Apr 1,2025","May 31,2026",-79.9905141,40.4382113
"305","72927","R9812","Restaurant (Liquor)","Active","GIANT EAGLE INC","GIANT EAGLE INC","2021 WHARTON ST, PITTSBURGH PA 15203-1915","15950  N DALLAS PKY STE 400, DALLAS TX 75248","TWENTY FIRST ST ASSOCIATES #2 LP","DARRIN A BEZILLA","Allegheny County","Pittsburgh","Apr 2,2025","May 31,2026",-79.9776683,40.4313375
"306","69675","R2472","Restaurant (Liquor)","Active","NEW SUSHI HOUSE LLC","NEW DUMPLING HOUSE AND SUSHI HOUSE","2130-2138 MURRAY AVE, PITTSBURGH PA 15217-2106","2130-2138 MURRAY AVE, PITTSBURGH PA 15217-2106",NA,"WEI WEI","Allegheny County","Pittsburgh","Apr 16,2025","May 31,2026",-79.9232273,40.4328604
"307","12882","R7714","Restaurant (Liquor)","Active","AMEL'S, INC.","AMEL'S RESTAURANT & LOUNGE","435 MCNEILLY RD, PITTSBURGH PA 15226-2501","435 MCNEILLY RD, PITTSBURGH PA 15226-2501","BERNADETTE M PERRI LIVING TRUST","MICHAEL REILAND","Allegheny County","Baldwin Twp","Mar 3,2025","May 31,2026",-80.0155667,40.3830049
"308","105782","R5445","Restaurant (Liquor)","Active","353 FREEPORT INC","TOM & TUDS","353 FREEPORT RD, PITTSBURGH PA 15215","353 FREEPORT RD, PITTSBURGH PA 15215","RICKEY & KATHY BERRAR","LUIS A CURCIO JR","Allegheny County","Aspinwall","May 21,2025","May 31,2026",-79.901344,40.4890834
"309","72772","R16672","Restaurant (Liquor)","Active","KHALID AND NATALIES SERVICE INC","KHALID AND NATALIES SERVICE INC","818 FIFTH AVE, PITTSBURGH PA 15219-4701","818 FIFTH AVE, PITTSBURGH PA 15219-4701",NA,"KHALID QURESHI","Allegheny County","Pittsburgh","Mar 3,2025","May 31,2026",-79.9920132,40.4386764
"310","113236","R12924","Restaurant (Liquor)","Active","TWB PITTSBURGH LLC","TOM'S WATCH BAR","261 N SHORE DR STE 3, PITTSBURGH PA 15212","261 N SHORE DR STE 3, PITTSBURGH PA 15212","NORTH SHORE XIV, LLC","WILLIAM SMALLS JR","Allegheny County","Pittsburgh","Apr 1,2025","May 31,2026",-80.008876,40.446179
"311","91406","R12941","Restaurant (Liquor)","Active","TAVERNINTHEHILLS LLC","TAVERNINTHEHILLS LLC","611 OLD CLAIRTON RD PLEASANT HILLS, PITTSBURGH PA 15236-4312","611 OLD CLAIRTON RD PLEASANT HILLS, PITTSBURGH PA 15236-4312",NA,"RANDALL J CHALUS","Allegheny County","Pleasant Hills","Mar 10,2025","May 31,2026",-79.9563385,40.3253598
"312","108166","R10402","Restaurant (Liquor)","Active","MOONLIT BURGERS LLC","MOONLIT BURGERS","1424-26 POTOMAC AVE, PITTSBURGH PA 15216","1424-26 POTOMAC AVE, PITTSBURGH PA 15216","TJ & D KACZOROWSKI, LLC","MICHAEL R MCCOY JR","Allegheny County","Dormont","Feb 6,2025","May 31,2026",-80.0346031,40.3956607
"313","45897","R4717","Restaurant (Liquor)","Active","NORTH VERSAILLES FOOD SERVICE, INC.","PRIMANTI BROTHERS","921 E PITTSBURGH MCKEESPORT BLVD, NORTH VERSAILLES PA 15137-1651","921 E PITTSBURGH MCKEESPORT BLVD, NORTH VERSAILLES PA 15137-1651",NA,"STEPHANIE A PLATA","Allegheny County","N Versailles Twp","Mar 28,2025","May 31,2026",-79.8284049,40.3829111
"314","128880","R7410","Restaurant (Liquor)","Active","BRYANT ST BURROW LLC","BRYANT ST BURROW","5801 BRYANT ST, PITTSBURGH PA 15206-1648","5801 BRYANT ST, PITTSBURGH PA 15206-1648","5801 BRYANT ST, LP","SHAELINN A MACE","Allegheny County","Pittsburgh","Mar 13,2025","May 31,2026",-79.9205714,40.4761763
"315","69524","R8098","Restaurant (Liquor)","Active","CINEMARK USA INC","CINEMARK USA INC","851 PROVIDENCE BLVD, PITTSBURGH PA 15237","851 PROVIDENCE BLVD, PITTSBURGH PA 15237",NA,"SALVATORE GERACI","Allegheny County","Mccandless","Mar 11,2025","May 31,2026",-80.0196317,40.5704648
"316","31573","R6165","Restaurant (Liquor)","Active","GMR RESTAURANTS OF PENNSYLVANIA LLC","THE OLIVE GARDEN #157","527 CLAIRTON BLVD PLEASANT HILLS, PITTSBURGH PA 15236-3809","527 CLAIRTON BLVD PLEASANT HILLS, PITTSBURGH PA 15236-3809",NA,"JESSICA A FERSCH","Allegheny County","Pleasant Hills","Apr 7,2025","May 31,2026",-79.9457004,40.3329683
"317","101806","R18852","Restaurant (Liquor)","Active","MIKE & TONY'S GYROS OF DORMONT LLC","MIKE & TONY'S GYROS","2937 W LIBERTY AVE DORMONT, PITTSBURGH PA 15216-2525","2937 W LIBERTY AVE DORMONT, PITTSBURGH PA 15216-2525","MAKS PROPERTY MANAGEMENT LLC","JUSTIN L DEVLIN","Allegheny County","Dormont","Mar 3,2025","May 31,2026",-80.0350145,40.394297
"318","65463","R6017","Restaurant (Liquor)","Active","MACMILES LLC","GRANT STREET TAVERN","GRANT BLDG STE 101 310 GRANT ST, PITTSBURGH PA 15219-2203","GRANT BLDG STE 101 310 GRANT ST, PITTSBURGH PA 15219-2203",NA,"CHERYL WHITE","Allegheny County","Pittsburgh","Mar 25,2025","May 31,2026",-79.998006,40.4372525
"319","17772","R16104","Restaurant (Liquor)","Active","WILSON RESTAURANT CORPORATION","JODI B'S RESTAURANT","140 FOREST HILLS PLZ FOREST HILLS, PITTSBURGH PA 15221","140 FOREST HILLS PLZ FOREST HILLS, PITTSBURGH PA 15221",NA,"TAMMI J GERBOC","Allegheny County","Forest Hills","Apr 11,2025","May 31,2026",-79.8627102,40.4342792
"320","57248","R9908","Restaurant (Liquor)","Active","THE CHEESECAKE FACTORY RESTAURANTS INC","THE CHEESECAKE FACTORY","1000 ROSS PARK MALL DR UNIT LL03, PITTSBURGH PA 15237-3875","1000 ROSS PARK MALL DR UNIT LL03, PITTSBURGH PA 15237-3875","PENN ROSS JOINT VENTURE","CARROLL QUINN","Allegheny County","Ross Twp","May 28,2025","May 31,2026",-80.0082504,40.5444084
"321","62088","R17152","Restaurant (Liquor)","Active","DANNY'S BAR AND GRILL INC","DANNY'S BAR AND GRILL","1511 CENTER AVE, PITTSBURGH PA 15229-1501","1511 CENTER AVE, PITTSBURGH PA 15229-1501",NA,"SUZANNE BAKER","Allegheny County","West View","Feb 10,2025","May 31,2026",-79.9856231,40.441209
"322","65005","R9909","Restaurant (Liquor)","Active","C & J DINING INC","TEPPANYAKI KYOTO RESTAURANT","5808 BRYANT ST, PITTSBURGH PA 15206-1604","5808 BRYANT ST, PITTSBURGH PA 15206-1604","LEE & CLAIRE GROSS","SHENG-CHUNG CHEN","Allegheny County","Pittsburgh","Mar 20,2025","May 31,2026",-79.9204268,40.4757538
"323","14379","R10449","Restaurant (Liquor)","Active","PHILLIP BACHARACH","EVERGREEN CAFE","7328-30 PENN AVE, PITTSBURGH PA 15208","7328-30 PENN AVE, PITTSBURGH PA 15208",NA,"PHILLIP BACHARACH","Allegheny County","Pittsburgh","May 30,2025","May 31,2026",-79.89853,40.4480825
"324","91630","R14435","Restaurant (Liquor)","Active","GIANT EAGLE INC","GIANT EAGLE INC","4250 MURRAY AVE, PITTSBURGH PA 15217",NA,"KAPPA DRIVE ASSOCIATES #1","ROBERT J WRIGHT","Allegheny County","Pittsburgh","Apr 2,2025","May 31,2026",-79.9295014,40.4223167
"325","67140","R18490","Restaurant (Liquor)","Active","TEXAS DE BRAZIL (PITTSBURGH) CORPORATION","TEXAS DE BRAZIL CHURRASCARIA","240 W STATION SQ DR STE D-1, PITTSBURGH PA 15219-1160","240 W STATION SQ DR STE D-1, PITTSBURGH PA 15219-1160",NA,"MICHAEL C MONTGOMERY","Allegheny County","Pittsburgh","Apr 4,2025","May 31,2026",-80.0053273,40.4341257
"326","93014","R12773","Restaurant (Liquor)","Active","SHEETZ INC","SHEETZ #353","5410 CAMPBELLS RUN RD, PITTSBURGH PA 15205","5410 CAMPBELLS RUN RD, PITTSBURGH PA 15205","Phanolith LP","BRANDY RATTENNI","Allegheny County","Robinson Twp","Mar 19,2025","May 31,2026",-80.1576855,40.4480031
"327","45699","R9663","Restaurant (Liquor)","Active","BLUES AVENUE, INC.","BLUES AVENUE, INC.","4053 BUTLER ST, PITTSBURGH PA 15201-3224","4053 BUTLER ST, PITTSBURGH PA 15201-3224","LAWRENCEVILLE HOLDINGS III LP","JOHN R PERGAL","Allegheny County","Pittsburgh","Mar 6,2025","May 31,2026",-79.9614932,40.4695539
"328","57498","R315","Restaurant (Liquor)","Active","FGMA INC","EL CAMPESINO","465 HOME DR, PITTSBURGH PA 15275-1205","465 HOME DR, PITTSBURGH PA 15275-1205",NA,"JORGE L PAZ-GOMEZ","Allegheny County","North Fayette Twp","Mar 18,2025","May 31,2026",-80.1819818,40.4524529
"329","34809","R5126","Restaurant (Liquor)","Active","THE WANDERING STAR INC","STARLITE LOUNGE","364 FREEPORT RD BLAWNOX, PITTSBURGH PA 15238-3440","364 FREEPORT RD BLAWNOX, PITTSBURGH PA 15238-3440",NA,"KIMBERLY CARO","Allegheny County","Blawnox","Apr 17,2025","May 31,2026",-79.8602839,40.4940253
"330","65355","R16480","Restaurant (Liquor)","Active","BANDHU BROS INC","WINGHARTS BURGER AND WHISKEY BAR","5 MARKET SQ, PITTSBURGH PA 15222-1813","5 MARKET SQ, PITTSBURGH PA 15222-1813",NA,"SIVRAM BANDHU","Allegheny County","Pittsburgh","May 15,2025","May 31,2026",-80.0028135,40.4406258
"331","70201","R4009","Restaurant (Liquor)","Active","SENTI LLC","SENTI LLC","3473 BUTLER ST, PITTSBURGH PA 15201-1802","3473 BUTLER ST, PITTSBURGH PA 15201-1802",NA,"FRANCO BRACCIA","Allegheny County","Pittsburgh","Feb 28,2025","May 31,2026",-79.9666963,40.4636969
"332","63846","R9958","Restaurant (Liquor)","Active","J-MO'S, LLC","JAMISON'S","3113-3117 W LIBERTY AVE DORMONT, PITTSBURGH PA 15216-2403","3113-3117 W LIBERTY AVE DORMONT, PITTSBURGH PA 15216-2403","ALBERT W CERMINARA","CHRISTA MURPHY","Allegheny County","Dormont","Mar 3,2025","May 31,2026",-80.0392804,40.3908612
