LID,License Number,License Type,Status,Licensee,Premises,Premises Address,Premises Mailing Address,Premises Owner,Premises Manager,County,Municipality,Last Issue Date,Expiration Date
19783,R18896,Restaurant (Liquor),Active,L W K CORPORATION,DREXELBROOK,"DREXELBROOK DR & VALLEY RD, DREXEL HILL PA 19026","DREXELBROOK DR & VALLEY RD, DREXEL HILL PA 19026",,DOMENICK SAVINO,Delaware County,Upper Darby Twp,"Jan 9,2025","Nov 30,2025"
101796,R806,Restaurant (Liquor),Active,STATION TAP LIQUOR LLC,STATION TAP LIQUOR LLC,"4201 FERNE BLVD, DREXEL HILL PA 19026-3813","4201 FERNE BLVD, DREXEL HILL PA 19026-3813","WAVERLY PROPERTY, LP",WILLIAM J DIRITA JR,Delaware County,Upper Darby Twp,"Oct 1,2024","Nov 30,2025"
112045,R33510,Restaurant (Liquor),Active,KRISHO INC,KRISHO INC,"160 BRISTOL OXFORD VALLEY RD, LANGHORNE PA 19047-3083","160 BRISTOL OXFORD VALLEY RD, LANGHORNE PA 19047-3083",KSR COUSINS,SWETA S PATEL,Bucks County,Falls Twp,"Mar 17,2025","Nov 30,2025"
115148,R56951,Restaurant (Liquor),Active,DHARMA BUMS LLC,DHARMA BUMS LLC,"4935 RIVER RD, POINT PLEASANT PA 18950","4935 RIVER  RD PO BOX 11, POINT PLEASANT  PA 18950",Lazy River Road LLC,Steven B Trachtenberg,Bucks County,Plumstead Twp,"Feb 25,2025","Nov 30,2025"
42424,R3101,Restaurant (Liquor),Active,EKATERINI THEODORELOS & PANAGIOTIS THEODORELOS,THEOS BAR AND RESTAURANT,"596 MERCER AVE, KINGSTON PA 18704-2824","596 MERCER AVE, KINGSTON PA 18704-2824",,PANAGIOTIS THEODORELOS,Luzerne County,Kingston,"Jun 13,2024","Aug 31,2025"
67318,R18571,Restaurant (Liquor),Active,THE HOG PEN LLC,ODIS 12 BAR & GRILLE,"3702 W 12TH ST, ERIE PA 16505","3702 W 12TH ST, ERIE PA 16505",UGLY COUSIN LLC,MICHAEL MIODUS,Erie County,Millcreek Twp,"Jul 3,2024","Jul 31,2025"
56215,R3747,Restaurant (Liquor),Active,CONCERTO FUSION CUISINE INC,CONCERTO FUSION CUISINE INC,"2 S DELMORR AVE, MORRISVILLE PA 19067-7105","2 S DELMORR AVE, MORRISVILLE PA 19067-7105",,MAN WONG,Bucks County,Morrisville,"Oct 2,2024","Nov 30,2025"
123177,R46375,Restaurant (Liquor),Active,DB GOURMET MARKETS LLC,DI BRUNO BROS,"385 LANCASTER AVE , WAYNE PA 19087","385 LANCASTER AVE , WAYNE PA 19087",BESCO COMPANY,KARRIE L WERTHER,Delaware County,Radnor Twp,"Oct 3,2024","Nov 30,2025"
129195,R19764,Restaurant (Liquor),Active,EJS BUSINESS LLC,EJS BUSINESS LLC,"80 JACKSONVILLE RD, IVYLAND PA 18974-1514","80 JACKSONVILLE RD, IVYLAND PA 18974-1514",Spring Mill RE LLC,ERIK J TRAVERS,Bucks County,Northampton Twp,"May 5,2025","Nov 30,2025"
99631,R33555,Restaurant (Liquor),Active,ACME MARKETS INC,THE FROSTED MUG,"567 N SPROUL RD, BROOMALL PA 19008","567 N SPROUL RD, BROOMALL PA 19008",FEDERAL REALTY INVESTMENT TRUST,CATHERINE A SERLUCO,Delaware County,Marple Twp,"Oct 4,2024","Nov 30,2025"
81629,R19332,Restaurant (Liquor),Active,ACME MARKETS INC,ACME MARKETS INC,"48 WEST RD, NEWTOWN PA 18940-4301",,NEWTOWN/BUCKS ASSOCIATES LP,JAMES S CASTIGLIONE,Bucks County,Newtown Twp,"Oct 4,2024","Nov 30,2025"
83694,R21082,Restaurant (Liquor),Active,LIGHTSTREET BEER EXPRESS LLC,LIGHTSTREET BEER EXPRESS LLC,"3 FOWLERSVILLE RD, ORANGEVILLE PA 17859","3 FOWLERSVILLE RD, ORANGEVILLE PA 17859",,NILESH S PASI,Columbia County,Scott Twp,"May 14,2025","Aug 31,2025"
121314,R18670,Restaurant (Liquor),Active,TGM RESTAURANT GROUP,THE WYCK,"2551 DURHAM RD  RTE 413 BOX 391, BUCKINGHAM PA 18912-0391","2551 DURHAM RD  RTE 413 BOX 391, BUCKINGHAM PA 18912-0391",MGT REAL ESTATE MANAGEMENT COMPANY,MARTIN W HOEGER,Bucks County,Buckingham Twp,"Sep 20,2024","Nov 30,2025"
55626,R18522,Restaurant (Liquor),Active,LANGHORNE HISTORIC HOLDINGS LLC,BELLA TORI,"321 S BELLEVUE AVE, LANGHORNE PA 19047-2807","321 S BELLEVUE AVE, LANGHORNE PA 19047-2807",,PAUL MANES,Bucks County,Langhorne,"Oct 8,2024","Nov 30,2025"
60423,R19173,Restaurant (Liquor),Active,LONGSHORE AFFILIATES INC,LONGSHORE AFFILIATES INC,"6217 N RADCLIFFE ST, BRISTOL PA 19007-4448","6217 N RADCLIFFE ST, BRISTOL PA 19007-4448",,LAWRENCE WARREN,Bucks County,Bristol Twp,"Oct 15,2024","Nov 30,2025"
43980,R21119,Restaurant (Liquor),Active,GIGGLEBERRY FAIR INC,GIGGLEBERRY FAIR INC,"RTE 263, LAHASKA PA 18931-0218","PO BOX 218, LAHASKA PA 18931-0218",,TINA LUKOSCHEK,Bucks County,Buckingham Twp,"May 5,2025","Nov 30,2025"
109484,R14940,Restaurant (Liquor),Active,4 ROSES LLC,BROADWAY TAVERN,"259 N MOUNTAIN BLVD MOUNTAINTOP, WILKES BARRE PA 18707-1125","259 N MOUNTAIN BLVD MOUNTAINTOP, WILKES BARRE PA 18707-1125",ESTATE OF  ELINOR ROSE EDWIN ROSE EXECUTOR,JEFFREY L MCGOVERN,Luzerne County,Fairview Twp,"Jun 4,2024","Aug 31,2025"
63535,R16914,Restaurant (Liquor),Active,DEXTER'S DECK INC,DEXTER'S DECK INC,"501 AVE B, LATROBE PA 15650","501 AVE B, LATROBE PA 15650",,DARLENE D SCHMUCKER,Westmoreland County,LATROBE,"Aug 8,2024","Jun 30,2025"
114203,R17655,Restaurant (Liquor),Active,HILL BILLY'S INC,HILL BILLY'S,"3531 RTE 31, DONEGAL PA 15628-","3531 RTE 31, DONEGAL PA 15628-",HILL BILLY'S LAND LLC,JAMES E STAMBAUGH III,Westmoreland County,DONEGAL TWP,"May 30,2024","Jun 30,2025"
122300,R5778,Restaurant (Liquor),Active,MVD LLC,MVD LLC,"128 PARRISH ST, WILKES BARRE PA 18702-4613","128 PARRISH ST, WILKES BARRE PA 18702-4613",SALVATORE DELUCA and VALERIRA CLAUDIA SARTOR,VALERIA C SARTOR,Luzerne County,Wilkes Barre,"May 16,2025","Aug 31,2025"
60295,R12675,Restaurant (Liquor),Active,ABBS WM LLC,MULLIGANS,"HOT METAL PLAZA 1013 LEBANON RD, WEST MIFFLIN PA 15122","HOT METAL PLAZA 1013 LEBANON RD, WEST MIFFLIN PA 15122",,AUTUMN NICOLE JANOSOV,Allegheny County,West Mifflin,"Jun 6,2025","May 31,2026"
17059,R14973,Restaurant (Liquor),Active,ROBERT E DOUGHERTY,DOC'S TAVERN,"9006 RTE 68, RIMERSBURG PA 16248","PO BOX 328, RIMERSBURG PA 16248-0328",,ROBERT E DOUGHERTY,Clarion County,Toby Twp,"May 29,2024","Jul 31,2025"
60305,R11923,Restaurant (Liquor),Active,ANGELOS SINCE 1939 LLC,ANGELOS,"2109 N FRANKLIN BLVD, WASHINGTON PA 15301","2109 N FRANKLIN BLVD, WASHINGTON PA 15301",,MICHAEL PASSALACQUA,Washington County,NORTH FRANKLIN TWP,"Jun 17,2024","Jun 30,2025"
34239,R11629,Restaurant (Liquor),Active,"LEO ENTERPRISES, INC.",FIREHOUSE TAP & GRILLE,"875 PARK AVE, MEADVILLE PA 16335-3326","875 PARK AVE, MEADVILLE PA 16335-3326",,SEAN M MILLER,Crawford County,Meadville,"May 31,2024","Jul 31,2025"
31558,R16613,Restaurant (Liquor),Active,GMR RESTAURANTS OF PENNSYLVANIA LLC,THE OLIVE GARDEN #334,"1085 E PITTSBURGH ST, GREENSBURG PA 15601-3505","1085 E PITTSBURGH ST, GREENSBURG PA 15601-3505",,JOHN N BROWNING,Westmoreland County,HEMPFIELD TWP,"Feb 27,2025","Jun 30,2025"
110358,R20340,Restaurant (Liquor),Active,"CBI LOUNGE, LLC",COVERED BRIDGE INN,"4300 LITTLE GAP RD, PALMERTON PA 18071-5148","4300 LITTLE GAP RD, PALMERTON PA 18071-5148","CBI VENTURES, LLC",JOHN R HORNE,Carbon County,L Towamensing Twp,"Feb 6,2025","Aug 31,2025"
81652,R10678,Restaurant (Liquor),Active,EL AMIGO MEXICAN GRILL INC,EL AMIGO MEXICAN GRILL INC,"319 STATE ST, ERIE PA 16507-1421","319 STATE ST, ERIE PA 16507-1421",PETER H LYONS,MONTSERRAT VAZQUEZ VALDEZ,Erie County,Erie,"May 6,2024","Jul 31,2025"
120682,R14348,Restaurant (Liquor),Active,425 PITTSBURGH LLC,NAN XIANG SOUP DUMPLING,"2773 SIDNEY ST, PITTSBURGH PA 15203","2773 SIDNEY ST, PITTSBURGH PA 15203",PITTSBURGH - SSW2 NOTE OWNER LLC,YIN CHEN,Allegheny County,Pittsburgh,"May 2,2025","May 31,2026"
70799,R17705,Restaurant (Liquor),Active,FABRIZIOS INC,FABRIZIOS ITALIAN RESTAURANT,"1609 W CENTER ST, ASHLAND PA 17921-1118","1609 W CENTER ST, ASHLAND PA 17921-1118",,FABRIZIO MANGANIELLO,Schuylkill County,Ashland,"Mar 18,2025","Mar 31,2026"
119027,R9969,Restaurant (Liquor),Active,BUTTERJOINT GROUP LLC,BUTTERJOINT,"208 N CRAIG ST, PITTSBURGH PA 15213-1508","208 N CRAIG ST, PITTSBURGH PA 15213-1508",STERLING LAND CO,GEORGE L AUSTIN JR,Allegheny County,Pittsburgh,"Apr 2,2025","May 31,2026"
58996,R927,Restaurant (Liquor),Active,BEANERS RESTAURANT INC,BEANERS RESTAURANT INC,"208-212 BRIDGE ST, PHOENIXVILLE PA 19460-3404","208-212 BRIDGE ST, PHOENIXVILLE PA 19460-3404",W & L DEVELOPMENT LLC,ALEXANDRA SMITH,Chester County,Phoenixville,"Apr 9,2025","Mar 31,2026"
66058,R4355,Restaurant (Liquor),Active,PINE GROVE DINER INC,PINE GROVE DINER,"475 SUEDBERG RD, PINE GROVE PA 17963-8830","475 SUEDBERG RD, PINE GROVE PA 17963-8830",KLAPPERSCHLANGE LLC,DAVID S FREW,Schuylkill County,Pine Grove Twp,"Dec 16,2024","Mar 31,2026"
37708,R15936,Restaurant (Liquor),Active,"UNIVERSITY ENTERPRISES, INC.",PENN AVE.,"407 PENN AVE, CRESSON PA 16630","407 PENN AVE, CRESSON PA 16630",,OLIVIA N CEBALLOS,Cambria County,Sankertown Boro,"Jan 23,2025","Jan 31,2026"
70169,R9262,Restaurant (Liquor),Active,RED LOBSTER RESTAURANTS LLC,RED LOBSTER #789,"223 SHOEMAKER RD, POTTSTOWN PA 19464-6441","223 SHOEMAKER RD, POTTSTOWN PA 19464-6441",ARCP RL PORTFOLIO I LLC,SCOTT E WYMAN,Montgomery County,Pottstown,"Mar 4,2025","Apr 30,2026"
67692,R16035,Restaurant (Liquor),Active,PJ'S POUR HOUSE LLC,PJ'S POUR HOUSE LLC,"116 N POTTSTOWN PK, EXTON PA 19341-2206","116 N POTTSTOWN PK, EXTON PA 19341-2206",,DANIELLE M GRONLIE,Chester County,West Whiteland Twp,"Mar 18,2025","Mar 31,2026"
95842,R8653,Restaurant (Liquor),Active,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKET #270,"2 N MOUNTAIN BLVD, MOUNTAIN TOP PA 18707","2 N MOUNTAIN BLVD, MOUNTAIN TOP PA 18707","SADG-11 ASSOCIATES, LP",SARAH L GODSEY,Luzerne County,Fairview Twp,"May 13,2025","Aug 31,2025"
60671,R6171,Restaurant (Liquor),Active,TKALCEVIC INC,TKALCEVIC INC,"2080 SMITH TOWNSHIP STATE RD, BURGETTSTOWN PA 15021-2857","2080 SMITH TOWNSHIP STATE RD, BURGETTSTOWN PA 15021-2857",,SHARLO TKALCEVIC,Washington County,SMITH TWP,"May 2,2024","Jun 30,2025"
47981,R12492,Restaurant (Liquor),Active,"TEDOLAS, LTD.",CAFE NIKOS,"212-214-216 SHILOH ST, PITTSBURGH PA 15211-1624","212-214-216 SHILOH ST, PITTSBURGH PA 15211-1624",,NICHOLAS HAGES,Allegheny County,Pittsburgh,"Mar 3,2025","May 31,2026"
68426,R15875,Restaurant (Liquor),Active,TFB RESTAURANTS & CO,ANNIE BAILEYS IRISH PUB,"28-30 E KING ST, LANCASTER PA 17602-2850","28-30 E KING ST, LANCASTER PA 17602-2850",,JACOB W FUNK,Lancaster County,Lancaster,"Jan 22,2025","Feb 28,2026"
18552,R17286,Restaurant (Liquor),Active,"PROGRESS GRILL, INC.",PROGRESS GRILL,"3526 WALNUT ST, HARRISBURG PA 17109-3618","3526 WALNUT ST, HARRISBURG PA 17109-3618",,DORRI BESKID,Dauphin County,Susquehanna Twp,"Nov 15,2024","Feb 28,2026"
58696,R3686,Restaurant (Liquor),Active,MEX FOODS INC,LA TONALTECA,"46 VIEWMONT DR SCRANTON/CARBONDALE HWY, SCRANTON PA 18503","46 VIEWMONT DR SCRANTON/CARBONDALE HWY, SCRANTON PA 18503",,MIRCIADES DIRZU DIAZ,Lackawanna County,Scranton,"Oct 7,2024","Sep 30,2025"
92508,R38221,Restaurant (Liquor),Active,SPEEDWAY LLC,SPEEDWAY #2923,"220 E CONNELLY BLVD, SHARON PA 16146","220 E CONNELLY BLVD, SHARON PA 16146",SPEEDWAY LLC,TRISH N P MICHAEL,Mercer County,Sharon,"Apr 24,2025","Jul 31,2025"
36295,R13,Restaurant (Liquor),Active,SAPPORO JAPANESE STEAKHOUSE INC,SAPPORO JAPANESE STEAKHOUSE INC,"4260 STEUBENVILLE PK, PITTSBURGH PA 15205-9645","4260 STEUBENVILLE PK, PITTSBURGH PA 15205-9645",,SANG NAM,Allegheny County,Robinson Twp,"Apr 23,2025","May 31,2026"
69442,R8123,Restaurant (Liquor),Active,PLAZA AZTECA ROBINSON TOWNSHIP INC,PLAZA AZTECA MEXICAN RESTAURANT,"1000 SUTHERLAND DR, PITTSBURGH PA 15205-4865","1000 SUTHERLAND DR, PITTSBURGH PA 15205-4865",,LUIS HERNANDEZ,Allegheny County,Robinson Twp,"May 30,2025","May 31,2026"
105263,R17424,Restaurant (Liquor),Active,BFS FOODS INC,BFS FOODS 32,"137 LOCUST AVE, MT MORRIS PA 15349-","137 LOCUST AVE, MT MORRIS PA 15349-","THE OLD PALACE, LTD",TINA M SALSBERRY,Greene County,Perry Twp,"Sep 18,2024","Jun 30,2025"
96103,R40545,Restaurant (Liquor),Active,NITTANY OIL COMPANY INC,NITTANY MINIT MART,"403 E WALNUT ST, LEWISTOWN PA 17044","403 E WALNUT ST, LEWISTOWN PA 17044",NITTANY OIL COMPANY INC,CHARLES R SEWARD JR,Mifflin County,Lewistown,"Nov 5,2024","Feb 28,2026"
34600,R17010,Restaurant (Liquor),Active,"ROSE INN, INC.",ROSE INN,"2711 RTE 110 HWY W, INDIANA PA 15701-9802","2711 RTE 110 HWY W, INDIANA PA 15701-9802",,JOHN J ZAK,Indiana County,Rayne Twp,"May 20,2024","Jun 30,2025"
112188,R17977,Restaurant (Liquor),Active,TODD L HENNARD,ROOKIES SPORTS BAR AND GRILL,"211 MAIN ST, BRADFORD PA 16701-2139","211 MAIN ST, BRADFORD PA 16701-2139",TODD L HENNARD,MICHELLE L GREENAWALT,Mckean County,Bradford,"Oct 30,2024","Jul 31,2025"
39379,R18443,Restaurant (Liquor),Active,"CHINA BAR, INC.","CHINA BAR, INC.","1506 W HIGH ST, STOWE PA 19464-6842","1506 W HIGH ST, STOWE PA 19464-6842",,TAK CHUEN CHU,Montgomery County,West Pottsgrove Twp,"Feb 19,2025","Apr 30,2026"
111304,R3879,Restaurant (Liquor),Active,FLY GUY PROPERTIES LLC,FLY GUY PROPERTIES LLC,"362 W 31ST ST, ERIE PA 16508-1769","362 W 31ST ST, ERIE PA 16508-1769","J & P Pub, LLC",MACY LYNN BAUMANN,Erie County,Erie,"Jun 17,2024","Jul 31,2025"
120194,R17195,Restaurant (Liquor),Active,SHANANIGANS LLC,SHENANIGAN'S BAR & GRILL,"921 AMITY RIDGE RD, AMITY PA 15311","921 AMITY RIDGE RD, AMITY PA 15311",SHANANIGANS LLC,SHANNON M KNOX,Washington County,Amwell Twp,"May 10,2024","Jun 30,2025"
95074,R40168,Restaurant (Liquor),Active,TH MINIT MARKETS LLC,TURKEY HILL MINIT MARKET #239,"829 N CENTER AVE, SOMERSET PA 15501","829 N CENTER AVE, SOMERSET PA 15501",SOMERSET MOTEL PARTNERS,JOSHUA D FABRIZIO,Somerset County,Somerset,"Nov 15,2024","Jan 31,2026"
83972,R3953,Restaurant (Liquor),Active,1688 ASIAN FOOD INC,1688 ASIAN FOOD INC,"12120 STATE ROUTE 30  STE 170, NORTH HUNTINGDON PA 15642-5841","12120 STATE ROUTE 30  STE 170, NORTH HUNTINGDON PA 15642-5841",COLONY NORWIN LLC,CHENG FAN ZOU,Westmoreland County,NORTH HUNTINGDON TWP,"Apr 29,2024","Jun 30,2025"
93420,R15911,Restaurant (Liquor),Active,SHEETZ INC,SHEETZ #252,"14259 CLEARFIELD SHAWVILLE HWY, CLEARFIELD PA 16830","14259 CLEARFIELD SHAWVILLE HWY, CLEARFIELD PA 16830",CSP INVESTMENTS INC,BRIAN M SELFRIDGE,Clearfield County,Lawrence Twp,"Oct 11,2024","Jan 31,2026"
117751,R18409,Restaurant (Liquor),Active,VICTORS 700 LLC,VICTOR'S CAFE,"2012 PENN AVE, WEST LAWN PA 19609-2057","2012 PENN AVE, WEST LAWN PA 19609-2057","REDUM ASSET MANAGEMENT, LP",MELANIE A ENG,Berks County,Spring Twp,"Dec 26,2024","Mar 31,2026"
42296,R6154,Restaurant (Liquor),Active,"KING PIN ENTERPRISES, INC.",MY PLACE IN LIBRARY,"4113 BROWNSVILLE RD, LIBRARY PA 15129-9548","4113 BROWNSVILLE RD, LIBRARY PA 15129-9548",,ROBERT LAVELLE,Allegheny County,South Park Twp,"Apr 29,2025","May 31,2026"
102362,R21073,Restaurant (Liquor),Active,BESKO HOSPITALITY INC,BACKDRAFT,"1256 HAMLIN HWY, LAKE ARIEL PA 18436-9365","1256 HAMLIN HWY, LAKE ARIEL PA 18436-9365",BESKO REALTY HOLDINGS INC,JAMES D MUSUMECI JR,Wayne County,Salem Twp,"May 13,2025","Sep 30,2025"
118729,R3042,Restaurant (Liquor),Active,ARSENAL MOTORS BUILDING ASSOCIATES LLC,THE CAFE AT FIELD DAY,"3706 BUTLER ST, PITTSBURGH PA 15201","3706 BUTLER ST, PITTSBURGH PA 15201","3700 BUTLER ASSOCIATES, LLC",TIMOTHY K GARSO,Allegheny County,Pittsburgh,"Apr 18,2025","May 31,2026"
109242,R3433,Restaurant (Liquor),Active,S R BEVERAGES LLC,PI' VINO,"5724 ELLSWORTH AVE, PITTSBURGH PA 15232","5724 ELLSWORTH AVE, PITTSBURGH PA 15232",NATIONAL RETAIL PROPERTIES TRUST,SHEWETA  GUPTA,Allegheny County,Pittsburgh,"Apr 2,2025","May 31,2026"
58301,R705,Restaurant (Liquor),Active,M & M V P G ENTERPRISES LLC,M & M V P G ENTERPRISES LLC,"931 OLD WILLIAM PENN HWY, BLAIRSVILLE PA 15717-7836","931 OLD WILLIAM PENN HWY, BLAIRSVILLE PA 15717-7836",,JEFFREY J MARSHALL,Indiana County,Burrell Twp,"Apr 2,2024","Jun 30,2025"
46230,R16579,Restaurant (Liquor),Active,MEL'S PIZZERIA INC,MEL'S PIZZERIA INC,"353 BUTLER RD, KITTANNING PA 16201","353 BUTLER RD, KITTANNING PA 16201",,MELANIE DIAS,Armstrong County,West Kittanning,"Mar 29,2024","Jun 30,2025"
53998,R8380,Restaurant (Liquor),Active,LONG RUN CORPORATION,LUCCI'S PIZZA & PASTA,"3510 RTE 130, IRWIN PA 15642","3510 RTE 130, IRWIN PA 15642",,JOSHUA D WOLF,Westmoreland County,PENN TWP,"Jun 6,2024","Jun 30,2025"
72752,R10794,Restaurant (Liquor),Active,ANTHRACITE HOSPITALITY SERVICES LLC,ANTHRACITE HOSPITALITY SERVICES LLC,"41 NORTH MAIN ST, CARBONDALE PA 18407-2357","41 NORTH MAIN ST, CARBONDALE PA 18407-2357",,ASHLEY TAYLOR,Lackawanna County,Carbondale,"Aug 5,2024","Sep 30,2025"
81899,R13029,Restaurant (Liquor),Active,MBE EVENTS II LLC,LOFT AT BIRCH WILDS,"3236 W LIZARD CREEK RD, LEHIGHTON  PA 18235","3236 W LIZARD CREEK RD, LEHIGHTON  PA 18235",LOFT AT BIRCH WILDS LLC,CHERYL L RODGER,Carbon County,East Penn Twp,"Dec 30,2024","Aug 31,2025"
30394,R17647,Restaurant (Liquor),Active,KELLY A WEINGARTNER,BLUE SPRUCE INN,"4635, STATE ROUTE 405, MILTON PA 17847","4635, STATE ROUTE 405, MILTON PA 17847",,KELLY STEVENSON,Northumberland County,W Chillisquaque Twp,"Jan 29,2025","Mar 31,2026"
65078,R14504,Restaurant (Liquor),Active,"FINSKI, INC.","FINSKI, INC.","5440-42 WALNUT ST, PITTSBURGH PA 15232-2230","5440-42 WALNUT ST, PITTSBURGH PA 15232-2230",,TERRANCE KNOTT,Allegheny County,Pittsburgh,"May 15,2025","May 31,2026"
85506,R17842,Restaurant (Liquor),Active,PSP BEER LLC,PSP BEER LLC,"250 S MAIN ST, WASHINGTON PA 15301-6337","250 S MAIN ST, WASHINGTON PA 15301-6337",KAILASH M PATEL,VICKI L SIMOENS,Washington County,WASHINGTON,"Apr 22,2024","Jun 30,2025"
108965,R17578,Restaurant (Liquor),Active,LONE PALM REALTY & DEVELOPMENT LLC,STELLA & NICK'S,"INTERSECTION OF STONE MOUNTAIN RD & LONG RUN RD , SCHUYLKILL HAVEN  PA 17972","14 MASON DR, PINE GROVE PA 17963",RALPH AND KIMBERLY FIDLER,LEISHA M ROSSI,Schuylkill County,Wayne Twp,"Jan 15,2025","Mar 31,2026"
60574,R12044,Restaurant (Liquor),Active,PIT STOP 271 INC,PIT STOP 271 SPORTS BAR & GRILL,"3840 WILLIAM PENN AVE, NANTY GLO PA 15943-3422","3840 WILLIAM PENN AVE, NANTY GLO PA 15943-3422",,MICHELE L KUBAT,Cambria County,Jackson Twp,"Nov 27,2024","Jan 31,2026"
61096,R20586,Restaurant (Liquor),Active,PLAZA AZTECA WYOMISSING INC,PLAZA AZTECA MEXICAN RESTAURANT,"955 WOODLAND RD, WYOMISSING PA 19610-1201","955 WOODLAND RD, WYOMISSING PA 19610-1201",,JUAN P GONZALEZ-ALVAREZ,Berks County,Wyomissing Borough,"Dec 27,2024","Mar 31,2026"
19856,R18986,Restaurant (Liquor),Active,"RENDEZVOUS LOUNGE, INC.",RENDEZVOUS LOUNGE,"907 ELM AVE, HANOVER PA 17331-4708","907 ELM AVE, HANOVER PA 17331-4708",,LYNDA RACER,Adams County,Conewago Twp,"Nov 8,2024","Feb 28,2026"
106706,R5850,Restaurant (Liquor),Active,WOWWY ZOWWY LLC,REVIVAL,"240 WINDGATE DR, CHESTER SPRINGS PA 19425","240 WINDGATE DR, CHESTER SPRINGS PA 19425",WEATHERSTONE TOWN CENTER LP,TIFFANY A DIFIGLIA,Chester County,West Vincent Twp,"Jan 24,2025","Mar 31,2026"
89647,R363,Restaurant (Liquor),Active,100 DAWSON INC,DAWSON STREET PUB,"100 DAWSON ST, PHILADELPHIA PA 19127-1804","100 DAWSON ST, PHILADELPHIA PA 19127-1804","EDWARD W WILBY, JR",DAVID J WILBY,Philadelphia County,Philadelphia City,"Jul 29,2024","Oct 31,2025"
104475,R20306,Restaurant (Liquor),Active,POLISE RESTAURANT CORP,THE BOAT HOUSE,"141 RTE 507, HAWLEY PA 18428-7028","141 RTE 507, HAWLEY PA 18428-7028",POLISE LAKESIDE LLC,VINCENZO M POLISE,Pike County,Palmyra Twp,"Sep 30,2024","Sep 30,2025"
90673,R15151,Restaurant (Liquor),Active,CREAMERY ON BIRCH LLC,CREAMERY ON BIRCH LLC,"401 BIRCH ST, KENNETT SQUARE PA 19348","235 WHITEHORSE LANE STE 200, KENNETT SQUARE PA 19348",,SOPHIE FORTUNATO,Chester County,Kennett Square,"Jan 15,2025","Mar 31,2026"
46087,R5371,Restaurant (Liquor),Active,GMR RESTAURANTS OF PENNSYLVANIA LLC,THE OLIVE GARDEN ITALIAN RESTAURANT,"1500 SCRANTON-CARBONDALE HWY DICKSON CITY, SCRANTON PA 18508","1500 SCRANTON-CARBONDALE HWY DICKSON CITY, SCRANTON PA 18508",,SEAN P MENTH,Lackawanna County,Dickson City,"Jul 31,2024","Sep 30,2025"
119120,R14950,Restaurant (Liquor),Active,NITTANY OIL COMPANY INC,NITTANY MINIT MART,"2300 W 4TH ST, WILLIAMSPORT PA 17701","2300 W 4TH ST, WILLIAMSPORT PA 17701",NOCO INVESTMENT GROUP IV LLC,DONNA AIKEY,Lycoming County,Williamsport,"Feb 21,2025","Aug 31,2025"
93324,R3916,Restaurant (Liquor),Active,BERKSHIRE COFFEE LLC,BERKSHIRE COFFEE LLC,"1934-40 N FRONT ST, PHILADELPHIA PA 19122",,"North Front Street Properties, LLC",CLANCY J SMITH,Philadelphia County,Philadelphia City,"Aug 1,2024","Oct 31,2025"
116267,R10198,Restaurant (Liquor),Active,STEELTON SMOKE SHOP LLC,SMOKERS EXPRESS & VAPE,"107 N FRONT  ST, STEELTON PA 17113","2201 HERR ST, HARRISBURG PA 17103-6010","UMAR, LLC",RAJESH K FNU,Dauphin County,Steelton,"Dec 20,2024","Feb 28,2026"
104635,R2236,Restaurant (Liquor),Active,S&A CONVENIENCE INC,THE ORIGINAL HOTSPOT,"539 MONONGAHELA AVE, GLASSPORT PA 15045-1424","539 MONONGAHELA AVE, GLASSPORT PA 15045-1424",GLASSPORT REAL ESTATE LLC,ARPITKUMAR Y PATEL,Allegheny County,Glassport,"Feb 13,2025","May 31,2026"
56784,R13952,Restaurant (Liquor),Active,GIO ITALIAN GRILL LLC,GIO ITALIAN GRILL LLC,"6465 VILLAGE LN E-1, MACUNGIE PA 18062-8484","6465 VILLAGE LN E-1, MACUNGIE PA 18062-8484",,TONY DIMAIO,Lehigh County,Lower Macungie Twp,"May 5,2025","Apr 30,2026"
72771,R3332,Restaurant (Liquor),Active,MCCANN RESTAURANT GROUP LLC,MCCANN RESTAURANT GROUP LLC,"163-165 W MAIN ST, MONONGAHELA PA 15063-2305","163-165 W MAIN ST, MONONGAHELA PA 15063-2305",,JOHN R MCCANN JR,Washington County,MONONGAHELA,"Jun 14,2024","Jun 30,2025"
43960,R8935,Restaurant (Liquor),Active,"LA CUCINA RESTAURANT, INC.",LA CUCINA RESTAURANT,"600-606 S BLAKELY ST, DUNMORE PA 18510","600-606 S BLAKELY ST, DUNMORE PA 18510",FIRENZE CORPORATION,ANNE LEPRI,Lackawanna County,Dunmore,"Aug 2,2024","Sep 30,2025"
51299,R9896,Restaurant (Liquor),Active,"LUKIES, INC.",AVIS TAVERN,"MAIN ST, YATESBORO PA 16263","PO BOX 202, YATESBORO PA 16263-0202",MARK A & CAMALA D LUCAS,ROBERT LUCAS,Armstrong County,Cowanshannock Twp,"Apr 15,2024","Jun 30,2025"
92896,R13890,Restaurant (Liquor),Active,THE GIANT COMPANY LLC,MARTIN'S,"221 GLIMCHER DR, DUNCANSVILLE PA 16635","221 GLIMCHER DR, DUNCANSVILLE PA 16635",REALTY INCOME TRUST 1,JOELLEN M HERR,Blair County,Blair Twp,"Apr 17,2025","Jan 31,2026"
